"subtrack_length","mean_displacement","mean_maxdisplacement","mean_speed"
1,7.15230672989252,7.15230672989252,7.15230672989252
2,13.8574565498707,13.9918621183602,7.1551416620827
3,20.5187544483744,20.7562564395162,7.1576660987256
4,27.1379375086713,27.4603524597896,7.1579222994004
5,33.7113702062697,34.1240169456408,7.15881642139156
6,40.2573767473549,40.7601650033027,7.15812377749021
7,46.7506573092576,47.3645193632868,7.15654809293146
8,53.2015318221011,53.9338546137546,7.15556709603459
9,59.6158879946615,60.4651267665917,7.15391883572727
10,66.0054673882818,66.9810576352418,7.15304548544207
11,72.3599214518676,73.4510507706892,7.15031402780288
12,78.6843063030184,79.8904437565433,7.14717239335985
13,84.9625962667586,86.2918937449144,7.14329313305272
14,91.17412374989,92.6510742165947,7.1384853116034
15,97.3398362785141,98.9763094746865,7.13286890382326
16,103.485203847853,105.287029381044,7.12786054995324
17,109.616227346469,111.561559194878,7.12249039443416
18,115.719453164682,117.808590436467,7.11702276796051
19,121.808950962325,124.01201103893,7.11117380270457
20,127.878977683336,130.197178315335,7.1057640815922
