percentage,replicate,condition_type,faulty_lines
10,1,tcell,499
10,1,neutro,791
10,1,tcell_neutro,596
10,2,tcell,421
10,2,neutro,619
10,2,tcell_neutro,588
10,3,tcell,541
10,3,neutro,680
10,3,tcell_neutro,640
25,1,tcell,379
25,1,neutro,457
25,1,tcell_neutro,190
25,2,tcell,394
25,2,neutro,366
25,2,tcell_neutro,160
25,3,tcell,369
25,3,neutro,494
25,3,tcell_neutro,159
50,1,tcell,73
50,1,neutro,152
50,1,tcell_neutro,48
50,2,tcell,131
50,2,neutro,199
50,2,tcell_neutro,64
50,3,tcell,88
50,3,neutro,217
50,3,tcell_neutro,34
75,1,tcell,51
75,1,neutro,95
75,1,tcell_neutro,26
75,2,tcell,21
75,2,neutro,141
75,2,tcell_neutro,27
75,3,tcell,43
75,3,neutro,96
75,3,tcell_neutro,33
100,1,tcell,30
100,1,neutro,72
100,1,tcell_neutro,46
100,2,tcell,48
100,2,neutro,90
100,2,tcell_neutro,32
100,3,tcell,29
100,3,neutro,110
100,3,tcell_neutro,22
